UserId,RFMClass,RFM_Level
259266,114,Potential Customers
259287,444,Best Customers
259308,224,Good Buyers
259329,334,Best Customers
259350,112,Needs Attention
259392,334,Best Customers
259413,111,Very inactive
259434,133,Loyal Customers
259455,112,Needs Attention
259476,334,Best Customers
259497,344,Best Customers
259518,423,Best Customers
259539,244,Best Customers
259560,244,Best Customers
259581,111,Very inactive
259602,444,Best Customers
259623,222,Potential Customers
259644,433,Best Customers
259665,122,Promising Customers
259707,411,Potential Customers
259770,344,Best Customers
259791,334,Best Customers
259812,233,Good Buyers
259833,112,Needs Attention
259854,323,Good Buyers
259875,412,Loyal Customers
259917,133,Loyal Customers
259938,244,Best Customers
259959,223,Loyal Customers
259980,344,Best Customers
260001,434,Best Customers
260043,134,Good Buyers
260064,322,Loyal Customers
260106,112,Needs Attention
260148,434,Best Customers
260190,222,Potential Customers
260211,332,Good Buyers
260253,233,Good Buyers
260274,223,Loyal Customers
260295,344,Best Customers
260337,344,Best Customers
260358,333,Best Customers
260379,233,Good Buyers
260421,111,Very inactive
260442,111,Very inactive
260463,312,Potential Customers
260505,134,Good Buyers
260526,344,Best Customers
260547,334,Best Customers
260568,344,Best Customers
260589,244,Best Customers
260610,123,Potential Customers
260652,233,Good Buyers
260673,223,Loyal Customers
260694,122,Promising Customers
260715,344,Best Customers
260757,444,Best Customers
260778,222,Potential Customers
260820,222,Potential Customers
260841,433,Best Customers
260862,223,Loyal Customers
260883,444,Best Customers
260904,124,Loyal Customers
260925,223,Loyal Customers
260946,122,Promising Customers
260967,323,Good Buyers
260988,344,Best Customers
261009,434,Best Customers
261030,311,Promising Customers
261051,344,Best Customers
261072,344,Best Customers
261093,444,Best Customers
261114,233,Good Buyers
261135,224,Good Buyers
261156,212,Promising Customers
261177,444,Best Customers
261198,434,Best Customers
261261,111,Very inactive
261282,411,Potential Customers
261324,344,Best Customers
261345,311,Promising Customers
261366,233,Good Buyers
261387,122,Promising Customers
261408,322,Loyal Customers
261429,344,Best Customers
261450,111,Very inactive
261471,444,Best Customers
261492,422,Good Buyers
261513,233,Good Buyers
261534,214,Loyal Customers
261555,234,Best Customers
261576,344,Best Customers
261597,234,Best Customers
261618,223,Loyal Customers
261681,223,Loyal Customers
261702,333,Best Customers
261723,233,Good Buyers
261744,423,Best Customers
261765,433,Best Customers
261828,123,Potential Customers
261891,444,Best Customers
261912,344,Best Customers
261933,344,Best Customers
261954,444,Best Customers
261975,223,Loyal Customers
261996,444,Best Customers
262017,344,Best Customers
262038,423,Best Customers
262059,422,Good Buyers
262080,344,Best Customers
262101,344,Best Customers
262143,434,Best Customers
262164,344,Best Customers
262248,433,Best Customers
262269,112,Needs Attention
262290,444,Best Customers
262311,322,Loyal Customers
262332,221,Promising Customers
262353,122,Promising Customers
262374,433,Best Customers
262437,213,Potential Customers
262458,322,Loyal Customers
262500,334,Best Customers
262521,144,Best Customers
262542,244,Best Customers
262584,412,Loyal Customers
262626,121,Needs Attention
262647,223,Loyal Customers
262668,332,Good Buyers
262689,111,Very inactive
262710,123,Potential Customers
262752,221,Promising Customers
262773,222,Potential Customers
262794,133,Loyal Customers
262815,112,Needs Attention
262836,223,Loyal Customers
262857,344,Best Customers
262878,444,Best Customers
262899,222,Potential Customers
262920,244,Best Customers
262941,122,Promising Customers
262962,311,Promising Customers
262983,344,Best Customers
263004,444,Best Customers
263046,433,Best Customers
263067,222,Potential Customers
263088,434,Best Customers
263130,234,Best Customers
263151,411,Potential Customers
263172,312,Potential Customers
263214,233,Good Buyers
263235,223,Loyal Customers
263256,344,Best Customers
263298,322,Loyal Customers
263319,344,Best Customers
263340,344,Best Customers
263361,333,Best Customers
263424,322,Loyal Customers
263445,233,Good Buyers
263466,333,Best Customers
263487,111,Very inactive
263508,111,Very inactive
263550,233,Good Buyers
263571,111,Very inactive
263592,322,Loyal Customers
263613,444,Best Customers
263676,342,Best Customers
